month,month_check_message_count,month_check_event_count,days_in_range,messages_per_day_in_range,events_per_day_in_range
2017-06,14,14,11,1.272727,1.272727
2017-07,18,18,31,0.580645,0.580645
2017-08,26,26,31,0.83871,0.83871
2017-09,29,29,30,0.966667,0.966667
2017-10,119,119,31,3.83871,3.83871
2017-11,182,182,30,6.066667,6.066667
2017-12,231,231,31,7.451613,7.451613
2018-01,407,407,31,13.129032,13.129032
2018-02,396,396,28,14.142857,14.142857
2018-03,340,340,31,10.967742,10.967742
2018-04,340,340,30,11.333333,11.333333
2018-05,288,288,31,9.290323,9.290323
2018-06,324,324,30,10.8,10.8
2018-07,257,257,31,8.290323,8.290323
2018-08,215,215,31,6.935484,6.935484
2018-09,239,239,30,7.966667,7.966667
2018-10,339,339,31,10.935484,10.935484
2018-11,362,362,30,12.066667,12.066667
2018-12,387,387,31,12.483871,12.483871
2019-01,606,606,31,19.548387,19.548387
2019-02,463,463,28,16.535714,16.535714
2019-03,611,611,31,19.709677,19.709677
2019-04,495,495,30,16.5,16.5
2019-05,669,669,31,21.580645,21.580645
2019-06,462,462,30,15.4,15.4
2019-07,513,513,31,16.548387,16.548387
2019-08,488,488,31,15.741935,15.741935
2019-09,515,515,30,17.166667,17.166667
2019-10,601,601,31,19.387097,19.387097
2019-11,784,784,30,26.133333,26.133333
2019-12,581,581,31,18.741935,18.741935
2020-01,831,831,31,26.806452,26.806452
2020-02,945,945,29,32.586207,32.586207
2020-03,430,430,31,13.870968,13.870968
2020-04,53,53,30,1.766667,1.766667
2020-05,431,431,31,13.903226,13.903226
2020-06,470,470,30,15.666667,15.666667
2020-07,309,309,31,9.967742,9.967742
2020-08,436,436,31,14.064516,14.064516
2020-09,458,458,30,15.266667,15.266667
2020-10,477,477,31,15.387097,15.387097
2020-11,546,546,30,18.2,18.2
2020-12,442,442,31,14.258065,14.258065
2021-01,494,494,31,15.935484,15.935484
2021-02,343,343,28,12.25,12.25
2021-03,577,577,31,18.612903,18.612903
2021-04,566,566,30,18.866667,18.866667
2021-05,521,521,31,16.806452,16.806452
2021-06,356,356,30,11.866667,11.866667
2021-07,407,407,31,13.129032,13.129032
2021-08,461,461,31,14.870968,14.870968
2021-09,490,490,30,16.333333,16.333333
2021-10,615,615,31,19.83871,19.83871
2021-11,649,649,30,21.633333,21.633333
2021-12,560,560,31,18.064516,18.064516
2022-01,646,646,31,20.83871,20.83871
2022-02,584,584,28,20.857143,20.857143
2022-03,639,639,31,20.612903,20.612903
2022-04,562,562,30,18.733333,18.733333
2022-05,455,455,31,14.677419,14.677419
2022-06,387,387,30,12.9,12.9
2022-07,333,333,31,10.741935,10.741935
2022-08,311,311,31,10.032258,10.032258
2022-09,369,369,30,12.3,12.3
2022-10,506,506,31,16.322581,16.322581
2022-11,648,648,30,21.6,21.6
2022-12,364,364,31,11.741935,11.741935
2023-01,672,672,31,21.677419,21.677419
2023-02,539,539,28,19.25,19.25
2023-03,737,737,31,23.774194,23.774194
2023-04,499,499,30,16.633333,16.633333
2023-05,449,449,31,14.483871,14.483871
2023-06,420,420,30,14.0,14.0
2023-07,442,442,31,14.258065,14.258065
2023-08,391,391,31,12.612903,12.612903
2023-09,355,355,30,11.833333,11.833333
2023-10,409,409,31,13.193548,13.193548
2023-11,556,556,30,18.533333,18.533333
2023-12,301,301,31,9.709677,9.709677
2024-01,571,571,31,18.419355,18.419355
2024-02,508,508,29,17.517241,17.517241
2024-03,394,394,31,12.709677,12.709677
2024-04,518,518,30,17.266667,17.266667
2024-05,373,373,31,12.032258,12.032258
2024-06,292,292,30,9.733333,9.733333
2024-07,355,355,31,11.451613,11.451613
2024-08,319,319,31,10.290323,10.290323
2024-09,346,346,30,11.533333,11.533333
2024-10,426,426,31,13.741935,13.741935
2024-11,401,401,30,13.366667,13.366667
2024-12,336,336,31,10.83871,10.83871
2025-01,526,526,31,16.967742,16.967742
2025-02,470,470,28,16.785714,16.785714
2025-03,446,446,31,14.387097,14.387097
2025-04,413,413,30,13.766667,13.766667
2025-05,367,367,31,11.83871,11.83871
2025-06,438,438,30,14.6,14.6
2025-07,404,404,31,13.032258,13.032258
2025-08,399,399,31,12.870968,12.870968
2025-09,398,398,30,13.266667,13.266667
2025-10,429,429,31,13.83871,13.83871
2025-11,397,397,30,13.233333,13.233333
2025-12,284,284,31,9.16129,9.16129
2026-01,520,520,31,16.774194,16.774194
2026-02,43,43,4,10.75,10.75
