mode,line_id,check_event_count
tram,3,5414
tram,7,3361
tram,4,2538
tram,11,2279
tram,2,2193
tram,1,2105
tram,15,2084
tram,8,1779
tram,9,1479
tram,16,1401
tram,10,1254
tram,14,920
tram,12,576
bus,70,1011
bus,60,994
bus,74,675
bus,72,112
bus,90,94
bus,73,85
bus,89,72
bus,80,62
bus,79,31
bus,65,30
bus,131,27
bus,76,26
bus,71,4
bus,77,4
bus,62,2
bus,85,2
bus,82,1
bus,84,1
bus,86,1
bus,88,1
bus,175,1
bus,61,0
bus,63,0
bus,66,0
bus,67,0
bus,75,0
bus,81,0
bus,83,0
bus,87,0
bus,91,0
bus,108,0
bus,143,0
bus,162,0
bus,172,0
bus,173,0
bus,176,0
bus,E,0
